family,method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5,pct_of_teacher
MLP Ablation,E1 + MLP-LoRA,3B,4.3,3.95,2.97,3.73,4.44,4.97,3.713,3.878,99.0
E-series,E1 WSFT,7B,4.293,3.727,2.909,3.525,4.374,4.98,3.603,3.766,96.1
E-series,E7 Dec Only,7B,4.15,3.74,2.87,3.73,4.34,4.99,3.647,3.766,96.1
E-series,E5b Expl Entropy,7B,4.35,3.72,2.75,3.57,4.31,5.0,3.543,3.74,95.5
E-series,E3 CW-WSFT,7B,4.293,3.727,2.798,3.485,4.374,4.99,3.552,3.735,95.3
E-series,E5a Dec Entropy,7B,4.192,3.707,2.778,3.525,4.384,4.97,3.562,3.717,94.9
M2v2 Sequential,M2v2 WED,7B,4.3,3.69,2.76,3.47,4.36,4.95,3.53,3.716,94.8
E-series,E4 Section CW-WSFT,7B,4.192,3.646,2.778,3.465,4.343,4.99,3.529,3.685,94.1
E-series,E2 CW-SFT,7B,4.3,3.64,2.69,3.49,4.28,4.95,3.487,3.68,93.9
M2v2 Sequential,M2v2 EWD,7B,4.25,3.65,2.69,3.37,4.42,4.99,3.493,3.676,93.8
M2v2 Sequential,M2v2 EDW,7B,4.25,3.64,2.63,3.44,4.32,4.98,3.463,3.656,93.3
MLP Ablation,E1 + MLP-LoRA,1.5B,4.25,3.6,2.62,3.48,4.27,4.97,3.457,3.644,93.0
E-series,E6 Expl Only,7B,4.082,3.571,2.612,3.561,4.286,5.0,3.486,3.622,92.4
M2v2 Sequential,M2v2 WDE,7B,4.25,3.51,2.38,3.33,4.21,4.99,3.307,3.536,90.3
E-series,E0 SFT,7B,4.141,3.485,2.566,3.293,4.192,5.0,3.35,3.535,90.2
M1v2 Additive,M1v2 A1,7B,4.235,3.48,2.52,3.235,4.163,4.99,3.306,3.527,90.0
M3v2 Juggler,M3v2 Juggler,7B,4.04,3.404,2.354,3.121,4.222,4.99,3.232,3.428,87.5
E-series,E7 Dec Only,3B,4.1,3.3,2.24,3.35,4.0,4.99,3.197,3.398,86.7
Baseline,Raw Baseline,7B,4.15,3.36,2.39,2.77,4.09,2.48,3.083,3.352,85.6
E-series,E6 Expl Only,3B,4.082,3.122,2.184,3.245,4.061,4.99,3.163,3.339,85.2
E-series,E5b Expl Entropy,3B,4.3,3.28,2.07,3.0,3.92,4.94,2.997,3.314,84.6
E-series,E3 CW-WSFT,3B,4.242,3.182,1.97,2.919,3.929,4.98,2.939,3.248,82.9
E-series,E1 WSFT,3B,4.242,3.131,1.949,2.879,3.929,4.949,2.919,3.226,82.3
E-series,E5a Dec Entropy,3B,4.192,3.172,1.929,2.869,3.838,4.939,2.879,3.2,81.7
M2v2 Sequential,M2v2 EWD,3B,4.2,3.22,1.87,2.76,3.94,5.0,2.857,3.198,81.6
M2v2 Sequential,M2v2 WDE,3B,4.25,3.09,1.73,2.89,3.83,4.99,2.817,3.158,80.6
E-series,E2 CW-SFT,3B,4.15,3.07,1.8,2.84,3.87,4.94,2.837,3.146,80.3
M2v2 Sequential,M2v2 WED,3B,4.1,3.07,1.79,2.85,3.91,4.98,2.85,3.144,80.2
E-series,E4 Section CW-WSFT,3B,4.141,3.02,1.808,2.889,3.788,4.99,2.828,3.129,79.9
M1v2 Additive,M1v2 A1,3B,4.337,2.98,1.786,2.765,3.714,4.99,2.755,3.116,79.5
M2v2 Sequential,M2v2 EDW,3B,4.15,2.95,1.75,2.87,3.82,4.98,2.813,3.108,79.3
E-series,E7 Dec Only,1.5B,4.35,2.94,1.68,2.57,3.5,0.01,2.583,3.008,76.8
M3v2 Juggler,M3v2 Juggler,3B,4.04,3.03,1.566,2.576,3.737,4.97,2.626,2.99,76.3
E-series,E5b Expl Entropy,1.5B,4.15,2.97,1.48,2.6,3.62,5.0,2.567,2.964,75.7
E-series,E2 CW-SFT,1.5B,4.15,2.87,1.45,2.62,3.68,4.96,2.583,2.954,75.4
E-series,E1 WSFT,1.5B,4.192,2.869,1.424,2.566,3.545,4.98,2.512,2.919,74.5
E-series,E5a Dec Entropy,1.5B,4.141,2.808,1.404,2.566,3.667,4.97,2.545,2.917,74.5
M2v2 Sequential,M2v2 EWD,1.5B,4.1,2.78,1.45,2.52,3.67,5.0,2.547,2.904,74.1
E-series,E4 Section CW-WSFT,1.5B,3.99,2.727,1.525,2.576,3.616,4.99,2.572,2.887,73.7
Baseline,Raw Baseline,3B,3.65,2.85,1.91,2.39,3.59,3.1,2.63,2.878,73.5
E-series,E0 SFT,3B,4.04,2.727,1.465,2.525,3.626,4.99,2.539,2.877,73.4
E-series,E6 Expl Only,1.5B,3.878,2.745,1.653,2.602,3.469,0.0,2.575,2.869,73.2
M2v2 Sequential,M2v2 WED,1.5B,4.05,2.66,1.35,2.57,3.67,4.99,2.53,2.86,73.0
E-series,E3 CW-WSFT,1.5B,4.141,2.677,1.293,2.495,3.535,4.98,2.441,2.828,72.2
M1v2 Additive,M1v2 A1,1.5B,4.235,2.684,1.316,2.388,3.5,4.98,2.401,2.824,72.1
M2v2 Sequential,M2v2 EDW,1.5B,3.95,2.67,1.31,2.56,3.48,4.97,2.45,2.794,71.3
M2v2 Sequential,M2v2 WDE,1.5B,4.05,2.67,1.19,2.47,3.57,4.96,2.41,2.79,71.2
E-series,E0 SFT,1.5B,3.99,2.465,1.02,2.253,3.364,5.0,2.212,2.618,66.8
M3v2 Juggler,M3v2 Juggler,1.5B,3.889,2.455,0.99,2.212,3.242,4.97,2.148,2.558,65.3
Baseline,Raw Baseline,1.5B,2.9,1.87,0.69,1.85,2.88,1.12,1.807,2.038,52.0
