family,method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5,pct_of_teacher
Baseline,Raw Baseline,1.5B,2.9,1.87,0.69,1.85,2.88,1.12,1.807,2.038,52.0
Baseline,Raw Baseline,3B,3.65,2.85,1.91,2.39,3.59,3.1,2.63,2.878,73.5
Baseline,Raw Baseline,7B,4.15,3.36,2.39,2.77,4.09,2.48,3.083,3.352,85.6
E-series,E7 Dec Only,1.5B,4.35,2.94,1.68,2.57,3.5,0.01,2.583,3.008,76.8
E-series,E7 Dec Only,3B,4.1,3.3,2.24,3.35,4.0,4.99,3.197,3.398,86.7
E-series,E1 WSFT,7B,4.293,3.727,2.909,3.525,4.374,4.98,3.603,3.766,96.1
M1v2 Additive,M1v2 A1,1.5B,4.235,2.684,1.316,2.388,3.5,4.98,2.401,2.824,72.1
M1v2 Additive,M1v2 A1,3B,4.337,2.98,1.786,2.765,3.714,4.99,2.755,3.116,79.5
M1v2 Additive,M1v2 A1,7B,4.235,3.48,2.52,3.235,4.163,4.99,3.306,3.527,90.0
M2v2 Sequential,M2v2 EWD,1.5B,4.1,2.78,1.45,2.52,3.67,5.0,2.547,2.904,74.1
M2v2 Sequential,M2v2 EWD,3B,4.2,3.22,1.87,2.76,3.94,5.0,2.857,3.198,81.6
M2v2 Sequential,M2v2 WED,7B,4.3,3.69,2.76,3.47,4.36,4.95,3.53,3.716,94.8
M3v2 Juggler,M3v2 Juggler,1.5B,3.889,2.455,0.99,2.212,3.242,4.97,2.148,2.558,65.3
M3v2 Juggler,M3v2 Juggler,3B,4.04,3.03,1.566,2.576,3.737,4.97,2.626,2.99,76.3
M3v2 Juggler,M3v2 Juggler,7B,4.04,3.404,2.354,3.121,4.222,4.99,3.232,3.428,87.5
MLP Ablation,E1 + MLP-LoRA,1.5B,4.25,3.6,2.62,3.48,4.27,4.97,3.457,3.644,93.0
MLP Ablation,E1 + MLP-LoRA,3B,4.3,3.95,2.97,3.73,4.44,4.97,3.713,3.878,99.0
