method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5
E0 SFT,1.5B,3.99,2.465,1.02,2.253,3.364,5.0,2.212,2.618
E0 SFT,3B,4.04,2.727,1.465,2.525,3.626,4.99,2.539,2.877
E0 SFT,7B,4.141,3.485,2.566,3.293,4.192,5.0,3.35,3.535
E1 WSFT,1.5B,4.192,2.869,1.424,2.566,3.545,4.98,2.512,2.919
E1 WSFT,3B,4.242,3.131,1.949,2.879,3.929,4.949,2.919,3.226
E1 WSFT,7B,4.293,3.727,2.909,3.525,4.374,4.98,3.603,3.766
E2 CW-SFT,1.5B,4.15,2.87,1.45,2.62,3.68,4.96,2.583,2.954
E2 CW-SFT,3B,4.15,3.07,1.8,2.84,3.87,4.94,2.837,3.146
E2 CW-SFT,7B,4.3,3.64,2.69,3.49,4.28,4.95,3.487,3.68
E3 CW-WSFT,1.5B,4.133,2.653,1.265,2.469,3.52,4.98,2.418,2.808
E3 CW-WSFT,3B,4.235,3.173,1.98,2.918,3.918,4.98,2.939,3.245
E3 CW-WSFT,7B,4.286,3.724,2.806,3.49,4.367,4.99,3.554,3.735
E4 Section CW-WSFT,1.5B,3.99,2.727,1.525,2.576,3.616,4.99,2.572,2.887
E4 Section CW-WSFT,3B,4.141,3.02,1.808,2.889,3.788,4.99,2.828,3.129
E4 Section CW-WSFT,7B,4.192,3.646,2.778,3.465,4.343,4.99,3.529,3.685
E5a Decision Entropy,1.5B,4.141,2.808,1.404,2.566,3.667,4.97,2.546,2.917
E5a Decision Entropy,3B,4.192,3.172,1.929,2.869,3.838,4.939,2.879,3.2
E5a Decision Entropy,7B,4.192,3.707,2.778,3.525,4.384,4.97,3.562,3.717
E5b Expl Entropy,1.5B,4.15,2.97,1.48,2.6,3.62,5.0,2.567,2.964
E5b Expl Entropy,3B,4.3,3.28,2.07,3.0,3.92,4.94,2.997,3.314
E5b Expl Entropy,7B,4.35,3.72,2.75,3.57,4.31,5.0,3.543,3.74
E6 Expl Only,1.5B,3.878,2.745,1.653,2.602,3.469,0.0,2.575,2.869
E6 Expl Only,3B,4.082,3.122,2.184,3.245,4.061,4.99,3.163,3.339
E6 Expl Only,7B,4.082,3.571,2.612,3.561,4.286,5.0,3.486,3.622
E7 Dec Only,1.5B,4.35,2.94,1.68,2.57,3.5,0.01,2.583,3.008
E7 Dec Only,3B,4.1,3.3,2.24,3.35,4.0,4.99,3.197,3.398
E7 Dec Only,7B,4.15,3.74,2.87,3.73,4.34,4.99,3.647,3.766
