method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5
E0 SFT,1.5B,91.7,58.1,24.2,72.0,92.2,136.6,60.3,66.8
E0 SFT,3B,92.9,64.3,34.7,80.7,99.3,136.3,69.2,73.4
E0 SFT,7B,95.2,82.2,60.8,105.2,114.8,136.6,91.4,90.2
E1 WSFT,1.5B,96.4,67.7,33.7,82.0,97.1,136.1,68.5,74.5
E1 WSFT,3B,97.5,73.8,46.2,92.0,107.6,135.2,79.6,82.3
E1 WSFT,7B,98.7,87.9,68.9,112.6,119.8,136.1,98.3,96.1
E2 CW-SFT,1.5B,95.4,67.7,34.4,83.7,100.8,135.5,70.4,75.4
E2 CW-SFT,3B,95.4,72.4,42.7,90.7,106.0,135.0,77.4,80.3
E2 CW-SFT,7B,98.9,85.8,63.7,111.5,117.3,135.2,95.1,93.9
E3 CW-WSFT,1.5B,95.0,62.6,30.0,78.9,96.4,136.1,65.9,71.7
E3 CW-WSFT,3B,97.4,74.8,46.9,93.2,107.3,136.1,80.2,82.8
E3 CW-WSFT,7B,98.5,87.8,66.5,111.5,119.6,136.3,96.9,95.3
E4 Section CW-WSFT,1.5B,91.7,64.3,36.1,82.3,99.1,136.3,70.1,73.7
E4 Section CW-WSFT,3B,95.2,71.2,42.8,92.3,103.8,136.3,77.1,79.9
E4 Section CW-WSFT,7B,96.4,86.0,65.8,110.7,119.0,136.3,96.2,94.1
E5a Decision Entropy,1.5B,95.2,66.2,33.3,82.0,100.5,135.8,69.4,74.5
E5a Decision Entropy,3B,96.4,74.8,45.7,91.7,105.2,134.9,78.5,81.7
E5a Decision Entropy,7B,96.4,87.4,65.8,112.6,120.1,135.8,97.1,94.9
E5b Expl Entropy,1.5B,95.4,70.0,35.1,83.1,99.2,136.6,70.0,75.7
E5b Expl Entropy,3B,98.9,77.4,49.1,95.8,107.4,135.0,81.7,84.6
E5b Expl Entropy,7B,100.0,87.7,65.2,114.1,118.1,136.6,96.6,95.5
E6 Expl Only,1.5B,89.1,64.7,39.2,83.1,95.0,0.0,70.2,73.2
E6 Expl Only,3B,93.8,73.6,51.8,103.7,111.3,136.3,86.3,85.2
E6 Expl Only,7B,93.8,84.2,61.9,113.8,117.4,136.6,95.1,92.4
E7 Dec Only,1.5B,100.0,69.3,39.8,82.1,95.9,0.3,70.4,76.8
E7 Dec Only,3B,94.3,77.8,53.1,107.0,109.6,136.3,87.2,86.7
E7 Dec Only,7B,95.4,88.2,68.0,119.2,118.9,136.3,99.5,96.1
