family,method,size,decision_accuracy,safety_score,clinical_correctness,completeness,coherence,format_compliance,reasoning_mean,composite_5
MLP Ablation,E1 + MLP-LoRA,3B,98.9,93.2,70.4,119.2,121.6,135.8,101.3,99.0
E-series,E1 WSFT,7B,98.7,87.9,68.9,112.6,119.8,136.1,98.3,96.1
E-series,E7 Dec Only,7B,95.4,88.2,68.0,119.2,118.9,136.3,99.5,96.1
E-series,E5b Expl Entropy,7B,100.0,87.7,65.2,114.1,118.1,136.6,96.6,95.5
E-series,E3 CW-WSFT,7B,98.7,87.9,66.3,111.3,119.8,136.3,96.9,95.3
E-series,E5a Dec Entropy,7B,96.4,87.4,65.8,112.6,120.1,135.8,97.2,94.9
M2v2 Sequential,M2v2 WED,7B,98.9,87.0,65.4,110.9,119.5,135.2,96.3,94.8
E-series,E4 Section CW-WSFT,7B,96.4,86.0,65.8,110.7,119.0,136.3,96.2,94.0
E-series,E2 CW-SFT,7B,98.9,85.8,63.7,111.5,117.3,135.2,95.1,93.9
M2v2 Sequential,M2v2 EWD,7B,97.7,86.1,63.7,107.7,121.1,136.3,95.3,93.8
M2v2 Sequential,M2v2 EDW,7B,97.7,85.8,62.3,109.9,118.4,136.1,94.5,93.3
MLP Ablation,E1 + MLP-LoRA,1.5B,97.7,84.9,62.1,111.2,117.0,135.8,94.3,93.0
E-series,E6 Expl Only,7B,93.8,84.2,61.9,113.8,117.4,136.6,95.1,92.5
M2v2 Sequential,M2v2 WDE,7B,97.7,82.8,56.4,106.4,115.3,136.3,90.2,90.3
E-series,E0 SFT,7B,95.2,82.2,60.8,105.2,114.8,136.6,91.4,90.2
M1v2 Additive,M1v2 A1,7B,97.3,82.1,59.7,103.3,114.1,136.3,90.2,90.0
M3v2 Juggler,M3v2 Juggler,7B,92.9,80.3,55.8,99.7,115.7,136.3,88.2,87.5
E-series,E7 Dec Only,3B,94.3,77.8,53.1,107.0,109.6,136.3,87.2,86.7
Baseline,Raw Baseline,7B,95.4,79.2,56.6,88.5,112.1,67.8,84.1,85.6
E-series,E6 Expl Only,3B,93.8,73.6,51.7,103.7,111.3,136.3,86.3,85.2
E-series,E5b Expl Entropy,3B,98.9,77.4,49.1,95.8,107.4,135.0,81.7,84.6
E-series,E3 CW-WSFT,3B,97.5,75.0,46.7,93.3,107.7,136.1,80.2,82.9
E-series,E1 WSFT,3B,97.5,73.9,46.2,92.0,107.7,135.2,79.6,82.3
E-series,E5a Dec Entropy,3B,96.4,74.8,45.7,91.7,105.2,135.0,78.5,81.7
M2v2 Sequential,M2v2 EWD,3B,96.6,75.9,44.3,88.2,107.9,136.6,77.9,81.6
M2v2 Sequential,M2v2 WDE,3B,97.7,72.9,41.0,92.3,104.9,136.3,76.8,80.6
E-series,E2 CW-SFT,3B,95.4,72.4,42.7,90.7,106.0,135.0,77.4,80.3
M2v2 Sequential,M2v2 WED,3B,94.3,72.4,42.4,91.1,107.1,136.1,77.7,80.2
E-series,E4 Section CW-WSFT,3B,95.2,71.2,42.8,92.3,103.8,136.3,77.1,79.9
M1v2 Additive,M1v2 A1,3B,99.7,70.3,42.3,88.3,101.8,136.3,75.1,79.5
M2v2 Sequential,M2v2 EDW,3B,95.4,69.6,41.5,91.7,104.7,136.1,76.7,79.3
E-series,E7 Dec Only,1.5B,100.0,69.3,39.8,82.1,95.9,0.3,70.5,76.8
M3v2 Juggler,M3v2 Juggler,3B,92.9,71.5,37.1,82.3,102.4,135.8,71.6,76.3
E-series,E5b Expl Entropy,1.5B,95.4,70.0,35.1,83.1,99.2,136.6,70.0,75.7
E-series,E2 CW-SFT,1.5B,95.4,67.7,34.4,83.7,100.8,135.5,70.5,75.4
E-series,E5a Dec Entropy,1.5B,95.2,66.2,33.3,82.0,100.5,135.8,69.4,74.5
E-series,E1 WSFT,1.5B,96.4,67.7,33.7,82.0,97.1,136.1,68.5,74.5
M2v2 Sequential,M2v2 EWD,1.5B,94.3,65.6,34.4,80.5,100.5,136.6,69.5,74.1
E-series,E4 Section CW-WSFT,1.5B,91.7,64.3,36.1,82.3,99.1,136.3,70.2,73.7
Baseline,Raw Baseline,3B,83.9,67.2,45.3,76.4,98.4,84.7,71.7,73.5
E-series,E0 SFT,3B,92.9,64.3,34.7,80.7,99.3,136.3,69.2,73.4
E-series,E6 Expl Only,1.5B,89.1,64.7,39.2,83.1,95.1,0.0,70.2,73.2
M2v2 Sequential,M2v2 WED,1.5B,93.1,62.7,32.0,82.1,100.5,136.3,69.0,73.0
E-series,E3 CW-WSFT,1.5B,95.2,63.1,30.6,79.7,96.9,136.1,66.6,72.2
M1v2 Additive,M1v2 A1,1.5B,97.3,63.3,31.2,76.3,95.9,136.1,65.5,72.1
M2v2 Sequential,M2v2 EDW,1.5B,90.8,63.0,31.0,81.8,95.3,135.8,66.8,71.3
M2v2 Sequential,M2v2 WDE,1.5B,93.1,63.0,28.2,78.9,97.8,135.5,65.7,71.2
E-series,E0 SFT,1.5B,91.7,58.1,24.2,72.0,92.2,136.6,60.3,66.8
M3v2 Juggler,M3v2 Juggler,1.5B,89.4,57.9,23.5,70.7,88.8,135.8,58.6,65.3
Baseline,Raw Baseline,1.5B,66.7,44.1,16.4,59.1,78.9,30.6,49.3,52.0
