id,n_method_size,mean_comp5,std_comp5,min_comp5,max_comp5,mean_clin,mean_safe,teacher_decision_accuracy,teacher_safety_score,teacher_clinical_correctness,teacher_completeness,teacher_coherence,teacher_format_compliance,teacher_comp5,teacher_clin
002abd8cf5d4,41,3.546,0.763,0.6,5.0,1.854,3.683,5.0,4.0,2.0,1.0,2.0,2.0,2.8,2.0
040a9a071269,50,1.516,0.82,0.6,5.0,0.26,1.56,0.0,2.0,0.0,2.0,5.0,5.0,1.8,0.0
046e8ddcecbf,50,3.908,0.809,1.8,5.0,2.58,3.84,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0667b8ab6b82,50,3.88,0.749,1.2,5.0,2.5,4.22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
089f1336ba62,50,2.008,0.581,0.0,3.2,0.3,1.2,5.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0
08a4fa33d424,50,3.968,0.706,2.4,5.0,2.96,3.88,5.0,5.0,5.0,2.0,2.0,2.0,3.8,5.0
0b9f8380ccf2,50,2.14,0.532,1.0,3.4,0.22,1.94,5.0,4.0,3.0,1.0,4.0,2.0,3.4,3.0
0f5544c16f32,50,3.36,1.472,0.8,5.0,2.54,3.3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10cae754ca63,50,4.472,0.703,1.2,5.0,3.96,4.62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
11c68756bfcc,50,1.692,0.73,0.4,4.2,0.26,1.02,0.0,0.0,3.0,1.0,5.0,5.0,1.8,3.0
1647daedbee2,50,3.328,1.154,1.0,5.0,2.1,3.32,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
18a821d83b20,50,3.492,1.233,1.0,5.0,2.38,3.42,5.0,4.0,4.0,2.0,2.0,2.0,3.4,4.0
1e6fc2106318,50,3.172,0.743,2.0,5.0,1.6,2.72,5.0,4.0,5.0,1.0,2.0,2.0,3.4,5.0
274e8fb42ae1,50,3.356,1.099,1.0,5.0,2.12,3.44,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2ebefde2a5db,50,3.372,0.638,2.2,5.0,1.54,3.42,5.0,5.0,3.0,4.0,4.0,4.0,4.2,3.0
2f42186e6c8d,50,3.628,0.581,2.0,4.6,1.82,3.7,5.0,5.0,5.0,2.0,2.0,2.0,3.8,5.0
2fea5ca7e095,50,3.664,0.864,2.4,5.0,2.44,3.64,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
301a188bca5d,50,2.456,1.112,0.6,5.0,1.58,2.56,0.0,3.0,2.0,2.0,2.0,4.0,1.8,2.0
31199510e496,50,4.06,1.098,1.4,5.0,3.46,3.98,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
34c80145071f,50,4.58,0.815,1.4,5.0,4.24,4.56,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3535b2cce984,50,2.184,1.312,0.2,5.0,1.68,1.9,0.0,0.0,2.0,1.0,1.0,2.0,0.8,2.0
371502766078,50,4.712,0.734,0.8,5.0,4.44,4.72,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3bc297c78622,50,2.724,1.387,0.6,5.0,1.44,2.52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
428f468a388c,50,3.272,0.52,2.2,4.8,1.38,3.44,5.0,5.0,5.0,2.0,2.0,2.0,3.8,5.0
47459d414446,50,3.8,0.707,2.6,5.0,2.56,4.22,5.0,4.0,5.0,2.0,2.0,3.0,3.6,5.0
