method,family,1.5B_clin,1.5B_fmt,1.5B_safe,3B_clin,3B_fmt,3B_safe,7B_clin,7B_fmt,7B_safe
E0 SFT,E-series,1.02,5.0,2.465,1.465,4.99,2.727,2.566,5.0,3.485
E1 + MLP-LoRA,MLP Ablation,2.62,4.97,3.6,2.97,4.97,3.95,,,
E1 WSFT,E-series,1.424,4.98,2.869,1.949,4.949,3.131,2.909,4.98,3.727
E2 CW-SFT,E-series,1.45,4.96,2.87,1.8,4.94,3.07,2.69,4.95,3.64
E3 CW-WSFT,E-series,1.293,4.98,2.677,1.97,4.98,3.182,2.798,4.99,3.727
E4 Section CW-WSFT,E-series,1.525,4.99,2.727,1.808,4.99,3.02,2.778,4.99,3.646
E5a Dec Entropy,E-series,1.404,4.97,2.808,1.929,4.939,3.172,2.778,4.97,3.707
E5b Expl Entropy,E-series,1.48,5.0,2.97,2.07,4.94,3.28,2.75,5.0,3.72
E6 Expl Only,E-series,1.653,0.0,2.745,2.184,4.99,3.122,2.612,5.0,3.571
E7 Dec Only,E-series,1.68,0.01,2.94,2.24,4.99,3.3,2.87,4.99,3.74
M1v2 A1,M1v2 Additive,1.316,4.98,2.684,1.786,4.99,2.98,2.52,4.99,3.48
M2v2 EDW,M2v2 Sequential,1.31,4.97,2.67,1.75,4.98,2.95,2.63,4.98,3.64
M2v2 EWD,M2v2 Sequential,1.45,5.0,2.78,1.87,5.0,3.22,2.69,4.99,3.65
M2v2 WDE,M2v2 Sequential,1.19,4.96,2.67,1.73,4.99,3.09,2.38,4.99,3.51
M2v2 WED,M2v2 Sequential,1.35,4.99,2.66,1.79,4.98,3.07,2.76,4.95,3.69
M3v2 Juggler,M3v2 Juggler,0.99,4.97,2.455,1.566,4.97,3.03,2.354,4.99,3.404
Raw Baseline,Baseline,0.69,1.12,1.87,1.91,3.1,2.85,2.39,2.48,3.36
